work_A,work_B,jaccardSimilarity
46184,2408,0.19226218646474208
46184,2409,0.23386295928500497
46184,2410,0.2312631780716887
46184,2411,0.2353810623556582
46184,2420,0.1694676074406671
46184,312160,0.13424692297931734
46184,34059,0.03211321268199755
46184,46021,0.19659009045065237
46184,48148,0.18423689190693532
46184,48919,0.20293697736079952
46184,49024,0.15509062157888334
46184,49593,0.15341040462427746
46184,5325,0.10299225220411434
46184,5326,0.12045598480050665
46184,5653,0.1277821419219691
46184,7875,0.10380622837370242
46184,9260,0.05427446569178852
46184,24249,0.18219807772670288
46184,3498,0.15841191066997518
46184,39792,0.011232718894009217
46184,45600,0.15744157441574416
46184,5607,0.16706886950064972
46184,6079,0.1544943820224719
46184,17622,0.19187690915261907
46184,2499,0.19228977405078035
46184,41051,0.2256400637719216
46184,41818,0.2086508957735326
46184,41907,0.22662324017650767
46184,42311,0.161859161508817
46184,42338,0.21305588803977535
46184,46135,0.09419613075383589
46184,47818,0.21903959561920808
46184,49908,0.21836316680024936
46184,55321,0.2320392681838465
46184,60437,0.24145824501907587
46184,61266,0.23979014504680587
46184,64449,0.215925248832013
46184,64466,0.2250127097102186
46184,64513,0.2010171058714748
46184,64522,0.19947763630427684
46184,64525,0.1875482093663912
46184,75802,0.22551037913878882
46184,79173,0.21177533256692396
46184,22492,0.16567123659562916
46184,22659,0.05411436541143654
46184,22761,0.07409769162096672
46184,24746,0.16162518905541043
46184,28280,0.16091797008401065
46184,38638,0.1601722861565381
46184,16304,0.15064935064935064
46184,21593,0.09737463536602306
46184,21989,0.1700647051642046
46184,22367,0.1827877896285399
46184,23532,0.11501683501683502
46184,25791,0.1377952755905512
46184,30570,0.010283893395133257
46184,30655,0.08797002913833772
46184,30753,0.029512893982808024
46184,38395,0.11562331354560172
46184,69327,0.2334622632153129
46184,30821,0.0708420320111343
46184,36076,0.15951282960860824
46184,38295,0.1407520325203252
46184,38754,0.09255478426568667
46184,38755,0.06100097046998475
46184,41197,0.16319107662463628
46184,46873,0.12614517265680056
46184,49543,0.17022153529108708
46184,55925,0.17752269087026162
46184,56182,0.17351207453888573
46184,6342,0.18041620215533258
46184,6343,0.17987582176771366
46184,10055,0.17490494296577946
46184,6820,0.01925840758838747
46184,6822,0.12281378600823045
46184,6831,0.09521896343913218
46184,6889,0.14348753401485623
46184,9108,0.16465659515043798
46184,9110,0.12174261659762127
46184,9157,0.17671671178931825
46184,9158,0.1157419697371914
46184,9159,0.10306748466257669
46184,9160,0.09505031275496328
46184,9186,0.18846062899030502
46184,9187,0.16967859308671923
46184,9325,0.1646403242147923
46184,9326,0.08154208847593954
46184,9369,0.16764346764346763
46184,9375,0.11000537923614846
46184,9950,0.1364215402431963
46184,31218,0.18505013673655424
46184,33328,0.08575720333196778
46184,33329,0.11080748736166143
46184,35264,0.236318407960199
46184,38126,0.23499288762446657
46184,43335,0.11912393162393162
46184,44174,0.2246030390985146
46184,45123,0.23403614457831326
46184,45635,0.13578356304236855
